,Energy,mu,mu_en
0,0.15,2.0140000000000002,1.056
1,0.2,0.9985,0.587
2,0.3,0.4031,0.2455
3,0.4,0.2323,0.137
4,0.5,0.1614,0.09128
5,0.6,0.1248,0.06819
6,0.8,0.0887,0.046439999999999995
7,1.0,0.07102,0.036539999999999996
8,1.25,0.05876,0.02988
9,1.5,0.05222,0.0264
10,2.0,0.046060000000000004,0.0236
11,3.0,0.042339999999999996,0.023219999999999998
12,4.0,0.04197,0.02449
13,5.0,0.04272,0.026
14,6.0,0.043910000000000005,0.02744
15,8.0,0.04675,0.029889999999999996
16,10.0,0.04972,0.031810000000000005
17,15.0,0.05658,0.03478
18,20.0,0.062060000000000004,0.03595
